::1 - - [13/Apr/2022:21:15:29 +0000] "GET /planets HTTP/1.1" 200 9862 "-" "PostmanRuntime/7.29.0"
::ffff:127.0.0.1 - - [14/Apr/2022:11:33:26 +0000] "GET /launches HTTP/1.1" 200 205 "-" "-"
::ffff:127.0.0.1 - - [14/Apr/2022:12:40:06 +0000] "GET /launches HTTP/1.1" 200 205 "-" "-"
::ffff:127.0.0.1 - - [14/Apr/2022:12:40:54 +0000] "GET /launches HTTP/1.1" 200 205 "-" "-"
::ffff:127.0.0.1 - - [14/Apr/2022:12:41:15 +0000] "GET /launches HTTP/1.1" 200 205 "-" "-"
::ffff:127.0.0.1 - - [14/Apr/2022:13:06:14 +0000] "GET /launches HTTP/1.1" 200 205 "-" "-"
::ffff:127.0.0.1 - - [14/Apr/2022:13:06:32 +0000] "GET /launches HTTP/1.1" 200 205 "-" "-"
::ffff:127.0.0.1 - - [14/Apr/2022:13:06:32 +0000] "POST /launches HTTP/1.1" 201 183 "-" "-"
::ffff:127.0.0.1 - - [14/Apr/2022:18:12:31 +0000] "GET /launches HTTP/1.1" 200 205 "-" "-"
::ffff:127.0.0.1 - - [14/Apr/2022:18:12:31 +0000] "POST /launches HTTP/1.1" 201 183 "-" "-"
::ffff:127.0.0.1 - - [14/Apr/2022:18:16:36 +0000] "GET /launches HTTP/1.1" 200 205 "-" "-"
::ffff:127.0.0.1 - - [14/Apr/2022:18:16:36 +0000] "POST /launches HTTP/1.1" 201 183 "-" "-"
::ffff:127.0.0.1 - - [14/Apr/2022:18:23:28 +0000] "GET /launches HTTP/1.1" 200 205 "-" "-"
::ffff:127.0.0.1 - - [14/Apr/2022:18:23:28 +0000] "POST /launches HTTP/1.1" 201 183 "-" "-"
::ffff:127.0.0.1 - - [14/Apr/2022:18:23:28 +0000] "POST /launches HTTP/1.1" 400 45 "-" "-"
::ffff:127.0.0.1 - - [14/Apr/2022:18:52:43 +0000] "GET /launches HTTP/1.1" 200 205 "-" "-"
::ffff:127.0.0.1 - - [14/Apr/2022:18:52:43 +0000] "POST /launches HTTP/1.1" 201 183 "-" "-"
::ffff:127.0.0.1 - - [14/Apr/2022:18:52:43 +0000] "POST /launches HTTP/1.1" 400 45 "-" "-"
::ffff:127.0.0.1 - - [14/Apr/2022:18:52:43 +0000] "POST /launches HTTP/1.1" 400 31 "-" "-"
